 ITER          Simple-error          Ya-error
   502      0.76312954E-05      0.34462315E+00
   503      0.76311499E-05      0.34460130E+00
   504      0.76310371E-05      0.34457269E+00
   505      0.76308797E-05      0.34454277E+00
   506      0.76308224E-05      0.34450877E+00
   507      0.76306651E-05      0.34447253E+00
   508      0.76306187E-05      0.34443432E+00
   509      0.76306478E-05      0.34439567E+00
   510      0.76306687E-05      0.34435803E+00
   511      0.76306815E-05      0.34432176E+00
   512      0.76306724E-05      0.34428462E+00
   513      0.76306605E-05      0.34424853E+00
   514      0.76305550E-05      0.34421423E+00
   515      0.76303622E-05      0.34417790E+00
   516      0.76301230E-05      0.34414494E+00
   517      0.76298820E-05      0.34411156E+00
   518      0.76296683E-05      0.34408104E+00
   519      0.76294164E-05      0.34404930E+00
   520      0.76292290E-05      0.34401998E+00
   521      0.76291672E-05      0.34399337E+00
   522      0.76290567E-05      0.34396631E+00
   523      0.76290080E-05      0.34394142E+00
   524      0.76288811E-05      0.34391797E+00
   525      0.76288202E-05      0.34389380E+00
   526      0.76287856E-05      0.34387264E+00
   527      0.76288752E-05      0.34385252E+00
   528      0.76289530E-05      0.34383526E+00
   529      0.76289862E-05      0.34381962E+00
   530      0.76289930E-05      0.34380412E+00
   531      0.76289029E-05      0.34378973E+00
   532      0.76287315E-05      0.34377849E+00
   533      0.76285351E-05      0.34376520E+00
   534      0.76283513E-05      0.34375581E+00
   535      0.76282213E-05      0.34374768E+00
   536      0.76280608E-05      0.34374040E+00
   537      0.76279380E-05      0.34373292E+00
   538      0.76278470E-05      0.34372655E+00
   539      0.76277811E-05      0.34372243E+00
   540      0.76276483E-05      0.34371862E+00
   541      0.76276128E-05      0.34371391E+00
   542      0.76275951E-05      0.34371236E+00
   543      0.76276215E-05      0.34371141E+00
   544      0.76276301E-05      0.34371325E+00
   545      0.76275483E-05      0.34371620E+00
   546      0.76275564E-05      0.34372085E+00
   547      0.76275692E-05      0.34372520E+00
   548      0.76274355E-05      0.34372982E+00
   549      0.76272745E-05      0.34373590E+00
   550      0.76272104E-05      0.34374395E+00
   551      0.76271508E-05      0.34375036E+00
   552      0.76271413E-05      0.34375939E+00
   553      0.76271003E-05      0.34376869E+00
   554      0.76268925E-05      0.34377784E+00
   555      0.76266247E-05      0.34378740E+00
   556      0.76265451E-05      0.34379834E+00
   557      0.76264573E-05      0.34380931E+00
   558      0.76263877E-05      0.34382167E+00
   559      0.76264259E-05      0.34383354E+00
   560      0.76264546E-05      0.34384695E+00
   561      0.76265173E-05      0.34386021E+00
   562      0.76265551E-05      0.34387395E+00
   563      0.76266492E-05      0.34389046E+00
   564      0.76266001E-05      0.34390369E+00
   565      0.76264291E-05      0.34391883E+00
   566      0.76263386E-05      0.34393367E+00
   567      0.76263109E-05      0.34394902E+00
   568      0.76262181E-05      0.34396565E+00
   569      0.76261049E-05      0.34398127E+00
   570      0.76260194E-05      0.34400052E+00
   571      0.76258389E-05      0.34402052E+00
   572      0.76255960E-05      0.34404197E+00
   573      0.76254100E-05      0.34406385E+00
   574      0.76253077E-05      0.34408683E+00
   575      0.76253004E-05      0.34410858E+00
   576      0.76254314E-05      0.34413037E+00
   577      0.76256247E-05      0.34415570E+00
   578      0.76257002E-05      0.34417951E+00
   579      0.76257138E-05      0.34420595E+00
   580      0.76258325E-05      0.34423205E+00
   581      0.76257988E-05      0.34425771E+00
   582      0.76257643E-05      0.34428686E+00
   583      0.76258211E-05      0.34431449E+00
   584      0.76258639E-05      0.34434187E+00
   585      0.76258048E-05      0.34437114E+00
   586      0.76256601E-05      0.34440026E+00
   587      0.76255374E-05      0.34442899E+00
   588      0.76253186E-05      0.34445831E+00
   589      0.76251072E-05      0.34448949E+00
   590      0.76248953E-05      0.34452230E+00
   591      0.76249021E-05      0.34455389E+00
   592      0.76250403E-05      0.34458545E+00
   593      0.76251490E-05      0.34461942E+00
   594      0.76253586E-05      0.34465262E+00
   595      0.76254805E-05      0.34468809E+00
   596      0.76255510E-05      0.34472311E+00
   597      0.76255346E-05      0.34475899E+00
   598      0.76253918E-05      0.34479669E+00
   599      0.76254446E-05      0.34483188E+00
   600      0.76255797E-05      0.34486887E+00
   601      0.76256947E-05      0.34490728E+00
   602      0.76257875E-05      0.34494868E+00
   603      0.76257847E-05      0.34498790E+00
   604      0.76257720E-05      0.34503064E+00
   605      0.76256601E-05      0.34507337E+00
   606      0.76255023E-05      0.34512043E+00
   607      0.76254100E-05      0.34516978E+00
   608      0.76253705E-05      0.34521714E+00
   609      0.76254655E-05      0.34526488E+00
   610      0.76255506E-05      0.34531310E+00
   611      0.76255828E-05      0.34536293E+00
   612      0.76256870E-05      0.34541321E+00
   613      0.76257429E-05      0.34546521E+00
   614      0.76258198E-05      0.34551808E+00
   615      0.76259907E-05      0.34557196E+00
   616      0.76261822E-05      0.34562886E+00
   617      0.76262363E-05      0.34568787E+00
   618      0.76263323E-05      0.34574768E+00
   619      0.76263655E-05      0.34580553E+00
   620      0.76262895E-05      0.34586525E+00
   621      0.76262027E-05      0.34592381E+00
   622      0.76262118E-05      0.34598395E+00
   623      0.76262286E-05      0.34604409E+00
   624      0.76261636E-05      0.34611049E+00
